firstNoun,connectorParticle,secondNoun,frequency
ABSCHLUSS,,DOKUMENT,1094
ABSCHLUSS,,TRAINING,557
ABSCHLUSS,,PLATTE,60
ABSCHLUSS,,EXAMEN,329
ABSCHLUSS,,ZEUGNIS,1173
ABSCHLUSS,,KLASSE,651
ABSCHLUSS,,RECHNUNG,82
ABSCHLUSS,,ZEUGNIS,1173
ABSCHLUSS,,FEIER,1065
ABSCHLUSS,,TABELLE,4170
ABSCHLUSS,,ZWANG,83
ABSCHLUSS,,FILM,1105
ABSCHLUSS,,DOKUMENT,1094
ABSCHLUSS,,ZEIT,14
ABSCHLUSS,,ZENSUR,4
ABSCHLUSS,,KABEL,0
ABSCHLUSS,,VERANSTALTUNG,828
ABSCHLUSS,,KOSTEN,450
ABSCHLUSS,,JAHR,569
ABSCHLUSS,,REDE,281
ABSCHLUSS,,VENTIL,3
ABSENDER,,ANGABE,160
ABSCHLUSS,,LEISTE,16
ABSCHLUSS,,ARBEIT,2824
ABSCHLUSS,,BERICHT,12831
ABSCHLUSS,,KUNDGEBUNG,786
ABSCHLUSS,,PHASE,176
ABSEITS,,PFIFF,24
ABSEITS,,TREFFER,9
ABSCHUSS,,BASIS,73
ABSEITS,,FALLE,252
ABSCHUSS,,ZEIT,7
ABSCHUSS,,VORRICHTUNG,306
ABSEITS,,POSITION,117
ABSEITS,,STELLUNG,235
ABSCHUSS,,BASIS,73
ABSCHUSS,,KANONE,0
ABSCHUSS,,VERBOT,7
ABSCHUSS,,RAMPE,535
ABSCHUSS,,VERBOT,7
ABSCHUSS,,LISTE,318
ABSEITS,,REGEL,130
ABSCHUSS,,REGELUNG,40
ABSCHUSS,,REGELUNG,40
ABSENDER,,ADRESSE,226
ABSCHUSS,,ZIFFER,4
ABSCHUSS,,LISTE,318
ABSCHUSS,,KANONE,0
ABSCHUSS,,ZEIT,7
ABSPRUNG,,BALKEN,35
ABSCHUSS,,VORRICHTUNG,306
ABSCHUSS,,ZIFFER,4
ABSEITE,N,STOFF,0
ABSCHUSS,,RAMPE,535
ABSEITS,,LINIE,12
ABSPRUNG,,SCHRITT,2
ABSPRUNG,,LINIE,13
ABSPRUNG,,BASIS,10
ABSPRUNG,,TISCH,7
ABSPRUNG,,WINKEL,14
ABSPRUNG,,BEIN,9
ABSPRUNG,,STELLE,47
ABSTICH,,PROBE,0
ABSTURZ,,SICHERUNG,224
ABSTICH,,STANGE,0
ABSTURZ,,URSACHE,462
ABTEIL,,FENSTER,91
ABSTINENZ,,ERSCHEINUNG,12
ABSTICH,,GRABEN,0
ABSTICH,,LOCH,13
ABSTURZ,,STELLE,1028
ABSPRUNG,,ZONE,76
ABSTURZ,,GEBIET,69
ABSTURZ,,GEFAHR,282
ABSTICH,,RINNE,4
ABSTINENZ,,VEREIN,29
ABSTRICH,,ZENTRUM,9
ABTEILUNG,S,ZEICHEN,8
ABTEIL,,BESTELLUNG,0
ABSZISSE,N,ACHSE,40
ABTEILUNG,S,CHEF,673
ABTREIBUNG,S,FRAGE,141
ABTEILUNG,S,KOMMANDEUR,279
ABTEI,,KIRCHE,3030
ABTEIL,,KOFFER,0
ABTEILUNGSLEITER,,BESPRECHUNG,44
ABTEILUNG,S,WAND,1
ABTEILUNG,S,UNTERRICHT,16
ABWAHL,,VERFAHREN,141
ABTRITT,S,BRILLE,0
ABTRITT,S,GRUBE,3
ABTREIBUNG,S,VERFAHREN,2
ABTRITT,S,DECKEL,0
ABTREIBUNG,S,DEBATTE,57
ABTREIBUNG,S,KLINIK,238
ABT,,HAUS,0
ABTREIBUNG,S,GEGNER,467
ABTREIBUNG,S,MITTEL,79
ABWAHL,,ANTRAG,542
ABTREIBUNG,S,VERBOT,236
ABWASSER,,REINIGUNGSANLAGE,458
ABWASSER,,ROHR,299
ABTREIBUNG,S,PILLE,305
ABWASSER,,SAMMLER,29
ABWASSER,,SYSTEM,673
ABTREIBUNG,S,RECHT,510
ABWASSER,,MONITORING,18
ABWEHR,,CHEF,1357
ABWURF,,LINIE,29
ABWASSER,,UNTERSUCHUNG,26
ABWASSER,,MENGE,354
ABWASSER,,ZWECKVERBAND,411
ABWASSER,,BAKTERIUM,1
ABWASSER,,NETZ,400
ABWASSER,,BEHANDLUNG,1647
ABWICKLUNG,S,AMT,21
ABWASSER,,GENOSSENSCHAFT,5
ABWEHR,,DIENST,149
ABWASSER,,TECHNIK,285
ABWASSER,,ANLAGE,2118
ABWASSER,,TEICH,37
ABWASSER,,KATASTER,25
ABWASSER,,KANAL,1264
ABZAHLUNG,S,HYPOTHEK,11
ABZAHLUNG,S,VERTRAG,16
ABZUG,S,GRABEN,225
ABZUG,S,LEINE,0
ACHILLES,,FERSE,691
ABWASSER,,LAST,59
ABWASSER,,BELASTUNG,235
ABZUG,S,HAUBE,81
ABZAHLUNG,S,VERPFLICHTUNG,8
ACHSEL,,SPROSS,5
ABWASSER,,AUFBEREITUNG,173
ABWURF,,GESCHWINDIGKEIT,21
ABWURF,,STANGE,53
ABZUG,S,RINNE,0
ACH,,LAUT,2
ABZAHLUNG,S,RATE,18
ABZAHLUNG,S,KAUF,146
ACHSEL,,ZUCKEN,630
ACHSEL,,HAAR,114
ABZUG,S,ROHR,28
ACHSEL,,SCHNUR,55
ACHILLES,,SEHNE,1066
ABZUG,S,KANAL,49
ACHSEL,,GRIFF,5
ACHSEL,,PATTE,2
ABZUG,S,KAMIN,3
ACHSEL,,GRUBE,4
ACHSE,N,KREUZ,170
ACHSEL,,SPROSS,5
ACHSEL,,KNOSPE,38
ACKER,,SCHLEPPE,1
ACHSEL,,SCHWEISS,59
